"Area" "Item" "Year" "yield" "rain" "pest" "temp"
"1" "Albania" "Maize" 1990 36613 1485 121 16.37
"2" "Albania" "Potatoes" 1990 66667 1485 121 16.37
"3" "Albania" "Rice, paddy" 1990 23333 1485 121 16.37
"4" "Albania" "Sorghum" 1990 12500 1485 121 16.37
"5" "Albania" "Soybeans" 1990 7000 1485 121 16.37
"6" "Albania" "Wheat" 1990 30197 1485 121 16.37
"7" "Albania" "Maize" 1991 29068 1485 121 15.36
"8" "Albania" "Potatoes" 1991 77818 1485 121 15.36
"9" "Albania" "Rice, paddy" 1991 28538 1485 121 15.36
"10" "Albania" "Sorghum" 1991 6667 1485 121 15.36
"11" "Albania" "Soybeans" 1991 6066 1485 121 15.36
"12" "Albania" "Wheat" 1991 20698 1485 121 15.36
"13" "Albania" "Maize" 1992 24876 1485 121 16.06
"14" "Albania" "Potatoes" 1992 82920 1485 121 16.06
"15" "Albania" "Rice, paddy" 1992 40000 1485 121 16.06
"16" "Albania" "Sorghum" 1992 3747 1485 121 16.06
"17" "Albania" "Soybeans" 1992 4507 1485 121 16.06
"18" "Albania" "Wheat" 1992 24388 1485 121 16.06
"19" "Albania" "Maize" 1993 24185 1485 121 16.05
"20" "Albania" "Potatoes" 1993 98446 1485 121 16.05
"21" "Albania" "Rice, paddy" 1993 41786 1485 121 16.05
"22" "Albania" "Soybeans" 1993 7998 1485 121 16.05
"23" "Albania" "Wheat" 1993 29976 1485 121 16.05
"24" "Albania" "Maize" 1994 25848 1485 201 16.96
"25" "Albania" "Potatoes" 1994 81404 1485 201 16.96
"26" "Albania" "Soybeans" 1994 7927 1485 201 16.96
"27" "Albania" "Wheat" 1994 24745 1485 201 16.96
"28" "Albania" "Maize" 1995 31300 1485 251 15.67
"29" "Albania" "Potatoes" 1995 111323 1485 251 15.67
"30" "Albania" "Soybeans" 1995 11791 1485 251 15.67
"31" "Albania" "Wheat" 1995 28703 1485 251 15.67
"32" "Albania" "Maize" 1996 32604 1485 313.96 15.64
"33" "Albania" "Potatoes" 1996 106138 1485 313.96 15.64
"34" "Albania" "Soybeans" 1996 15480 1485 313.96 15.64
"35" "Albania" "Wheat" 1996 21741 1485 313.96 15.64
"36" "Albania" "Maize" 1997 31862 1485 376.93 15.9
"37" "Albania" "Potatoes" 1997 109874 1485 376.93 15.9
"38" "Albania" "Soybeans" 1997 12768 1485 376.93 15.9
"39" "Albania" "Wheat" 1997 28516 1485 376.93 15.9
"40" "Albania" "Maize" 1998 33416 1485 439.89 16.27
"41" "Albania" "Potatoes" 1998 127212 1485 439.89 16.27
"42" "Albania" "Soybeans" 1998 14327 1485 439.89 16.27
"43" "Albania" "Wheat" 1998 28037 1485 439.89 16.27
"44" "Albania" "Maize" 1999 37455 1485 502.86 16.57
"45" "Albania" "Potatoes" 1999 142018 1485 502.86 16.57
"46" "Albania" "Soybeans" 1999 17143 1485 502.86 16.57
"47" "Albania" "Wheat" 1999 24954 1485 502.86 16.57
"48" "Albania" "Maize" 2000 38811 1485 565.82 16.67
"49" "Albania" "Potatoes" 2000 141228 1485 565.82 16.67
"50" "Albania" "Soybeans" 2000 15000 1485 565.82 16.67
"51" "Albania" "Wheat" 2000 30455 1485 565.82 16.67
"52" "Albania" "Maize" 2001 38135 1485 628.79 16.59
"53" "Albania" "Potatoes" 2001 148818 1485 628.79 16.59
"54" "Albania" "Soybeans" 2001 20000 1485 628.79 16.59
"55" "Albania" "Wheat" 2001 28220 1485 628.79 16.59
"56" "Albania" "Maize" 2002 39460 1485 691.75 16.47
"57" "Albania" "Potatoes" 2002 153868 1485 691.75 16.47
"58" "Albania" "Soybeans" 2002 20000 1485 691.75 16.47
"59" "Albania" "Wheat" 2002 31617 1485 691.75 16.47
"60" "Albania" "Maize" 2004 46197 1485 817.68 16.16
"61" "Albania" "Potatoes" 2004 149346 1485 817.68 16.16
"62" "Albania" "Soybeans" 2004 13333 1485 817.68 16.16
"63" "Albania" "Wheat" 2004 31130 1485 817.68 16.16
"64" "Albania" "Maize" 2005 45442 1485 880.64 15.67
"65" "Albania" "Potatoes" 2005 167061 1485 880.64 15.67
"66" "Albania" "Soybeans" 2005 17500 1485 880.64 15.67
"67" "Albania" "Wheat" 2005 31582 1485 880.64 15.67
"68" "Albania" "Maize" 2006 50111 1485 943.61 15.92
"69" "Albania" "Potatoes" 2006 170745 1485 943.61 15.92
"70" "Albania" "Soybeans" 2006 20000 1485 943.61 15.92
"71" "Albania" "Wheat" 2006 30787 1485 943.61 15.92
"72" "Albania" "Maize" 2007 46732 1485 1006.57 16.67
"73" "Albania" "Potatoes" 2007 188902 1485 1006.57 16.67
"74" "Albania" "Soybeans" 2007 20000 1485 1006.57 16.67
"75" "Albania" "Wheat" 2007 35496 1485 1006.57 16.67
"76" "Albania" "Maize" 2008 50000 1485 1069.54 16.71
"77" "Albania" "Potatoes" 2008 193878 1485 1069.54 16.71
"78" "Albania" "Soybeans" 2008 20000 1485 1069.54 16.71
"79" "Albania" "Wheat" 2008 40168 1485 1069.54 16.71
"80" "Albania" "Maize" 2009 55693 1485 1132.5 16.73
"81" "Albania" "Potatoes" 2009 219780 1485 1132.5 16.73
"82" "Albania" "Soybeans" 2009 16667 1485 1132.5 16.73
"83" "Albania" "Wheat" 2009 40229 1485 1132.5 16.73
"84" "Albania" "Maize" 2010 66790 1485 1311.17 16.52
"85" "Albania" "Potatoes" 2010 231111 1485 1311.17 16.52
"86" "Albania" "Soybeans" 2010 16667 1485 1311.17 16.52
"87" "Albania" "Wheat" 2010 39905 1485 1311.17 16.52
"88" "Albania" "Maize" 2011 59869 1485 1302.63 16.45
"89" "Albania" "Potatoes" 2011 242211 1485 1302.63 16.45
"90" "Albania" "Soybeans" 2011 18519 1485 1302.63 16.45
"91" "Albania" "Wheat" 2011 42301 1485 1302.63 16.45
"92" "Albania" "Maize" 2012 67290 1485 766.25 16.7
"93" "Albania" "Potatoes" 2012 250538 1485 766.25 16.7
"94" "Albania" "Soybeans" 2012 13333 1485 766.25 16.7
"95" "Albania" "Wheat" 2012 41096 1485 766.25 16.7
"96" "Albania" "Maize" 2013 69533 1485 982.32 17.41
"97" "Albania" "Potatoes" 2013 260110 1485 982.32 17.41
"98" "Albania" "Soybeans" 2013 10000 1485 982.32 17.41
"99" "Albania" "Wheat" 2013 41292 1485 982.32 17.41
"100" "Algeria" "Maize" 1990 16500 89 1828.92 17.48
"101" "Algeria" "Potatoes" 1990 78936 89 1828.92 17.48
"102" "Algeria" "Rice, paddy" 1990 28000 89 1828.92 17.48
"103" "Algeria" "Sorghum" 1990 16571 89 1828.92 17.48
"104" "Algeria" "Wheat" 1990 6315 89 1828.92 17.48
"105" "Algeria" "Maize" 1991 19231 89 2461.8 16.26
"106" "Algeria" "Potatoes" 1991 90747 89 2461.8 16.26
"107" "Algeria" "Rice, paddy" 1991 26786 89 2461.8 16.26
"108" "Algeria" "Sorghum" 1991 24231 89 2461.8 16.26
"109" "Algeria" "Wheat" 1991 10809 89 2461.8 16.26
"110" "Algeria" "Maize" 1992 22828 89 1215.47 16.27
"111" "Algeria" "Potatoes" 1992 107917 89 1215.47 16.27
"112" "Algeria" "Rice, paddy" 1992 24733 89 1215.47 16.27
"113" "Algeria" "Sorghum" 1992 40000 89 1215.47 16.27
"114" "Algeria" "Wheat" 1992 9939 89 1215.47 16.27
"115" "Algeria" "Maize" 1993 12500 89 1021.89 17
"116" "Algeria" "Potatoes" 1993 111215 89 1021.89 17
"117" "Algeria" "Rice, paddy" 1993 23111 89 1021.89 17
"118" "Algeria" "Sorghum" 1993 50000 89 1021.89 17
"119" "Algeria" "Wheat" 1993 8097 89 1021.89 17
"120" "Algeria" "Maize" 1994 4512 89 1255.02 17.88
"121" "Algeria" "Potatoes" 1994 95078 89 1255.02 17.88
"122" "Algeria" "Rice, paddy" 1994 21374 89 1255.02 17.88
"123" "Algeria" "Wheat" 1994 7999 89 1255.02 17.88
